"","index","lon","lat"
"853",852,-83.329433,42.54387
"854",852,2.1178229,41.3806915
"856",852,-2.179404,53.002668
"857",852,-42.0911635,-22.8292768
"858",852,-75.9268747,40.3356483
"860",852,-67.1387912,18.2863401
"862",852,131.9594688,43.6917713
"863",852,10.7979685,52.4257066
"864",852,-2.9915726,53.4083714
"865",852,-0.5104759,39.0643597
"866",852,-0.2470864,51.3912756
"867",852,-77.7914471,43.0824364
"869",852,151.3835956,-33.4974759
"873",852,-71.0328284,42.3917638
"877",852,7.4246158,43.7384176
"878",852,-1.4043509,50.9097004
"879",852,5.4660837,51.4432096
"880",852,7.6868565,45.070312
"881",852,11.5819806,48.1351253
"882",852,-71.3128285,41.4901024
"883",852,-100.7169119,20.0188739
"884",852,6.9946126,51.0157534
"885",852,-3.7423397,40.3757325
"886",852,-87.7962098,41.7304326
"889",852,-77.7914471,43.0824364
"891",852,-1.4043509,50.9097004
"893",852,-107.2650225,32.7997962
"894",852,-71.970074,42.13565
"895",852,-71.4547891,42.9956397
"896",852,-2.4282192,53.5768647
"897",852,-98.596603,29.5134897
"898",852,18.710503,-33.983964
"899",852,-71.0328284,42.3917638
"900",852,-4.4212655,36.721261
"901",852,-76.9714224,40.2313116
"902",852,-8.4052158,53.8761086
"904",852,10.9466529,45.4575193
"905",852,-8.426507,41.5454486
"906",852,4.3871779,45.439695
"907",852,5.948749,52.9628225
"909",852,5.36978,43.296482
"910",852,12.3996736,44.2048479
"911",852,-89.6412899,20.9544631
"912",852,-89.6412899,20.9544631
"913",852,-70.8273689,42.118527
"914",852,6.9946126,51.0157534
"916",852,-2.9915726,53.4083714
"917",852,2.1178229,41.3806915
"918",852,-77.7914471,43.0824364
"919",852,-0.2362096,51.5672916
"920",852,2.3350238,48.8533958
"921",852,-1.383801,54.906869
"922",852,-8.4052158,53.8761086
"923",852,1.12304,51.8909056
"924",852,37.739931,55.800076
"925",852,-56.741207,-35.1944557
"926",852,2.1178229,41.3806915
"927",852,-109.30151,35.1709339
"928",852,-95.4987565,39.5838828
"930",852,-56.741207,-35.1944557
"932",852,-118.3425748,33.9600196
"933",852,-2.992494,53.04304
"934",852,-2.2951248,53.5809168
"935",852,5.36978,43.296482
"936",852,-100.363932,25.733185
"937",852,-94.7096476,38.9059719
"938",852,-100.7169119,20.0188739
"939",852,-1.5490774,53.8007554
"940",852,-70.9078346,42.3020647
"941",852,-86.80249,33.5206608
"942",852,75.8253215,30.9258866
"943",852,-70.9078346,42.3020647
"944",852,-118.3425748,33.9600196
"945",852,-2.9915726,53.4083714
"946",852,-2.6325074,53.5450645
"947",852,-118.3425748,33.9600196
"951",852,-49.7793508,-27.4224135
"952",852,12.1765189,55.4563854
"953",852,-86.80249,33.5206608
"954",852,-2.179404,53.002668
"955",852,8.459405,55.476466
"957",852,5.4660837,51.4432096
"959",852,5.36978,43.296482
"960",852,-3.943646,51.62144
"961",852,-109.30151,35.1709339
"963",852,-0.57918,44.837789
"964",852,-0.902656,52.240477
"965",852,-0.57918,44.837789
"966",852,30.564428,50.32
"967",852,-2.9915726,53.4083714
"968",852,-89.6412899,20.9544631
"969",852,-89.6412899,20.9544631
"971",852,-109.30151,35.1709339
