"","Pos","Team

v
t
e","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation","league"
"1",1,"Chelsea (C)",38,26,9,3,73,32,"+41","87","Qualification for the Champions League group stage","Premier league"
"2",2,"Manchester City",38,24,7,7,83,38,"+45","79","Qualification for the Champions League group stage","Premier league"
"3",3,"Arsenal",38,22,9,7,71,36,"+35","75","Qualification for the Champions League group stage","Premier league"
"4",4,"Manchester United",38,20,10,8,62,37,"+25","70","Qualification for the Champions League play-off round","Premier league"
"5",5,"Tottenham Hotspur",38,19,7,12,58,53,"+5","64","Qualification for the Europa League group stage[a]","Premier league"
"6",6,"Liverpool",38,18,8,12,52,48,"+4","62","Qualification for the Europa League group stage[a]","Premier league"
"7",7,"Southampton",38,18,6,14,54,33,"+21","60","Qualification for the Europa League third qualifying round[a]","Premier league"
"8",8,"Swansea City",38,16,8,14,46,49,"-3","56","","Premier league"
"9",9,"Stoke City",38,15,9,14,48,45,"+3","54","","Premier league"
"10",10,"Crystal Palace",38,13,9,16,47,51,"-4","48","","Premier league"
"11",11,"Everton",38,12,11,15,48,50,"-2","47","","Premier league"
"12",12,"West Ham United",38,12,11,15,44,47,"-3","47","Qualification for the Europa League first qualifying round[b]","Premier league"
"13",13,"West Bromwich Albion",38,11,11,16,38,51,"-13","44","","Premier league"
"14",14,"Leicester City",38,11,8,19,46,55,"-9","41","","Premier league"
"15",15,"Newcastle United",38,10,9,19,40,63,"-23","39","","Premier league"
"16",16,"Sunderland",38,7,17,14,31,53,"-22","38","","Premier league"
"17",17,"Aston Villa",38,10,8,20,31,57,"-26","38","","Premier league"
"18",18,"Hull City (R)",38,8,11,19,33,51,"-18","35","Relegation to the Football League Championship","Premier league"
"19",19,"Burnley (R)",38,7,12,19,28,53,"-25","33","Relegation to the Football League Championship","Premier league"
"20",20,"Queens Park Rangers (R)",38,8,6,24,42,73,"-31","30","Relegation to the Football League Championship","Premier league"
"21",1,"Bayern Munich (C)",34,25,4,5,80,18,"+62","79","Qualification to Champions League group stage","Bundesliga"
"22",2,"VfL Wolfsburg",34,20,9,5,72,38,"+34","69","Qualification to Champions League group stage","Bundesliga"
"23",3,"Borussia Mönchengladbach",34,19,9,6,53,26,"+27","66","Qualification to Champions League group stage","Bundesliga"
"24",4,"Bayer Leverkusen",34,17,10,7,62,37,"+25","61","Qualification to Champions League play-off round","Bundesliga"
"25",5,"FC Augsburg",34,15,4,15,43,43,"0","49","Qualification to Europa League group stage[a]","Bundesliga"
"26",6,"Schalke 04",34,13,9,12,42,40,"+2","48","Qualification to Europa League group stage[a]","Bundesliga"
"27",7,"Borussia Dortmund",34,13,7,14,47,42,"+5","46","Qualification to Europa League third qualifying round[a]","Bundesliga"
"28",8,"1899 Hoffenheim",34,12,8,14,49,55,"-6","44","","Bundesliga"
"29",9,"Eintracht Frankfurt",34,11,10,13,56,62,"-6","43","","Bundesliga"
"30",10,"Werder Bremen",34,11,10,13,50,65,"-15","43","","Bundesliga"
"31",11,"FSV Mainz 05",34,9,13,12,45,47,"-2","40","","Bundesliga"
"32",12,"1. FC Köln",34,9,13,12,34,40,"-6","40","","Bundesliga"
"33",13,"Hannover 96",34,9,10,15,40,56,"-16","37","","Bundesliga"
"34",14,"VfB Stuttgart",34,9,9,16,42,60,"-18","36","","Bundesliga"
"35",15,"Hertha BSC",34,9,8,17,36,52,"-16","35","","Bundesliga"
"36",16,"Hamburger SV (O)",34,9,8,17,25,50,"-25","35","Qualification to the Relegation play-offs","Bundesliga"
"37",17,"SC Freiburg (R)",34,7,13,14,36,47,"-11","34","Relegation to 2. Bundesliga","Bundesliga"
"38",18,"SC Paderborn 07 (R)",34,7,10,17,31,65,"-34","31","Relegation to 2. Bundesliga","Bundesliga"
"39",1,"Barcelona (C)",38,30,4,4,110,21,"+89","94","Qualification to UEFA Champions League group stage[a]","La Liga"
"40",2,"Real Madrid",38,30,2,6,118,38,"+80","92","Qualification to UEFA Champions League group stage[a]","La Liga"
"41",3,"Atlético Madrid",38,23,9,6,67,29,"+38","78","Qualification to UEFA Champions League group stage[a]","La Liga"
"42",4,"Valencia",38,22,11,5,70,32,"+38","77","Qualification to UEFA Champions League play-off round","La Liga"
"43",5,"Sevilla",38,23,7,8,71,45,"+26","76","Qualification to UEFA Champions League group stage[a]","La Liga"
"44",6,"Villarreal",38,16,12,10,48,37,"+11","60","Qualification to UEFA Europa League group stage[b]","La Liga"
"45",7,"Athletic Bilbao",38,15,10,13,42,41,"+1","55","Qualification to UEFA Europa League third qualifying round[b]","La Liga"
"46",8,"Celta Vigo",38,13,12,13,47,44,"+3","51","","La Liga"
"47",9,"Málaga",38,14,8,16,42,48,"-6","50","","La Liga"
"48",10,"Espanyol",38,13,10,15,47,51,"-4","49[c]","","La Liga"
"49",11,"Rayo Vallecano",38,15,4,19,46,68,"-22","49[c]","","La Liga"
"50",12,"Real Sociedad",38,11,13,14,44,51,"-7","46","","La Liga"
"51",13,"Elche[d](R)",38,11,8,19,35,62,"-27","41","Relegation to Segunda División","La Liga"
"52",14,"Levante",38,9,10,19,34,67,"-33","37[e]","","La Liga"
"53",15,"Getafe",38,10,7,21,33,64,"-31","37[e]","","La Liga"
"54",16,"Deportivo La Coruña",38,7,14,17,35,60,"-25","35[f]","","La Liga"
"55",17,"Granada",38,7,14,17,29,64,"-35","35[f]","","La Liga"
"56",18,"Eibar",38,9,8,21,34,55,"-21","35[f]","","La Liga"
"57",19,"Almería (R)",38,8,8,22,35,64,"-29","32","Relegation to Segunda División","La Liga"
"58",20,"Córdoba (R)",38,3,11,24,22,68,"-46","20","Relegation to Segunda División","La Liga"
"59",1,"Juventus (C)",38,26,9,3,72,24,"+48","87","Qualification to Champions League group stage","Serie A"
"60",2,"Roma",38,19,13,6,54,31,"+23","70","Qualification to Champions League group stage","Serie A"
"61",3,"Lazio",38,21,6,11,71,38,"+33","69","Qualification to Champions League play-off round","Serie A"
"62",4,"Fiorentina",38,18,10,10,61,46,"+15","64","Qualification to Europa League group stage[a]","Serie A"
"63",5,"Napoli",38,18,9,11,70,54,"+16","63","Qualification to Europa League group stage[a]","Serie A"
"64",6,"Genoa[b]",38,16,11,11,62,47,"+15","59","","Serie A"
"65",7,"Sampdoria",38,13,17,8,48,42,"+6","56","Qualification to Europa League third qualifying round[a]","Serie A"
"66",8,"Internazionale",38,14,13,11,59,48,"+11","55","","Serie A"
"67",9,"Torino",38,14,12,12,48,45,"+3","54","","Serie A"
"68",10,"Milan",38,13,13,12,56,50,"+6","52","","Serie A"
"69",11,"Palermo",38,12,13,13,53,55,"-2","49","","Serie A"
"70",12,"Sassuolo",38,12,13,13,49,57,"-8","49","","Serie A"
"71",13,"Hellas Verona",38,11,13,14,49,65,"-16","46","","Serie A"
"72",14,"Chievo",38,10,13,15,28,41,"-13","43","","Serie A"
"73",15,"Empoli",38,8,18,12,46,52,"-6","42","","Serie A"
"74",16,"Udinese",38,10,11,17,43,56,"-13","41","","Serie A"
"75",17,"Atalanta",38,7,16,15,38,57,"-19","37","","Serie A"
