"","name","transfer.date","club.from","club.to","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","league","Status"
"1","Pedro","2015/8/20","FC Barcelona","Chelsea",22950000,"
                                Attacker                            ","Spain","Santa Cruz de ...",50,11,9,28,28,5,0,0,1,200,2199,46.3244353182752,"1987/7/28",28.062970568104,"Premier league","Top Club"
"2","Abdul Rahman Baba","2015/8/16","FC Augsburg","Chelsea",1.7e+07,"
                                Defender                            ","Ghana","Tamale",33,2,6,2,2,4,0,0,0,1417,2833,46.4558521560575,"1994/7/2",21.1225188227242,"Premier league","Top Club"
"3","Kenedy","2015/8/22","Fluminense","Chelsea",6800000,"
                                Defender                            ","Brazil","Santa Rita do ...",2,0,0,1,1,0,0,0,0,NA,136,40.3121149897331,"1996/2/8",19.5345653661875,"Premier league","Top Club"
"4","Michael Hector","2015/9/1","Reading","Chelsea",4590000,"
                                Defender                            ","Jamaica","London",49,3,2,1,1,9,0,0,0,1456,4367,NA,"1992/7/19",23.1184120465435,"Premier league","Top Club"
"5","Matt Miazga","2016/1/30","NY Red Bulls","Chelsea",3910000,"
                                Defender                            ","United States","Clifton",33,1,2,2,2,5,2,0,0,2788,2788,NA,"1995/7/19",20.5338809034908,"Premier league","Top Club"
"6","Nathan","2015/7/1","Atlético-PR","Chelsea",3400000,"
                                Attacker                            ","Brazil","Blumenau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996/3/13",19.2991101984942,"Premier league","Top Club"
"7","Papy Djilobodji","2015/9/1","FC Nantes","Chelsea",2980000,"
                                Defender                            ","Senegal","Kaolack",33,0,0,1,1,11,0,0,0,NA,2925,9.95482546201232,"1988/12/1",26.7488021902806,"Premier league","Top Club"
"8","Danilo Pantic","2015/7/23","Partizan","Chelsea",0,"
                                Midfield                            ","Serbia","Ruma",13,1,0,5,5,0,0,0,0,710,710,NA,"1996/10/26",18.7378507871321,"Premier league","Top Club"
"9","Kevin De Bruyne","2015/8/30","VfL Wolfsburg","Manchester City",62900000,"
                                Midfield                            ","Belgium","Drongen",51,16,28,0,0,7,0,0,0,284,4541,45.9958932238193,"1991/6/28",24.1724845995893,"Premier league","Top Club"
"10","Raheem Sterling","2015/7/14","Liverpool","Manchester City",53130000,"
                                Attacker                            ","England","Kingston",52,11,10,3,3,7,0,0,0,411,4519,23.5564681724846,"1994/12/8",20.5968514715948,"Premier league","Top Club"
"11","Nicolás Otamendi","2015/8/20","Valencia CF","Manchester City",37910000,"
                                Defender                            ","Argentina","Buenos Aires",38,6,0,0,0,9,0,1,0,560,3361,46.3244353182752,"1988/2/12",27.5181382614647,"Premier league","Top Club"
"12","Patrick Roberts","2015/7/19","Fulham FC","Manchester City",12750000,"
                                Attacker                            ","England","Kingston-upon-Thames",23,1,2,17,17,0,0,0,0,746,746,11.4004106776181,"1997/2/5",18.4476386036961,"Premier league","Top Club"
"13","Fabian Delph","2015/7/17","Aston Villa","Manchester City",9780000,"
                                Midfield                            ","England","Bradford",32,2,5,1,1,3,0,1,0,1397,2793,47.4414784394251,"1989/11/21",25.6509240246407,"Premier league","Top Club"
"14","Enes Ünal","2015/7/6","Bursaspor","Manchester City",2550000,"
                                Attacker                            ","Turkey","Bursa",31,1,2,24,24,4,0,0,0,754,754,11.8275154004107,"1997/5/10",18.154688569473,"Premier league","Top Club"
"15","Anthony Cáceres","2016/1/15","Central Coast Mariners","Manchester City",272000,"
                                Midfield                            ",NA,NA,27,1,1,1,1,0,0,0,0,2249,2249,17.4784394250513,"1992/9/29",23.2936344969199,"Premier league","Top Club"
"16","Florian Lejeune","2015/8/28","Girona FC","Manchester City",255000,"
                                Defender                            ","France","Istres",40,5,0,0,0,13,0,0,0,700,3501,10.0862422997947,"1991/5/20",24.2737850787132,"Premier league","Top Club"
"17","Rubén Sobrino","2015/8/28","Ponferradina","Manchester City",234000,"
                                Attacker                            ","Spain","Daimiel",42,6,6,16,16,5,0,0,0,398,2388,NA,"1992/2/16",23.5290896646133,"Premier league","Top Club"
