"","X.1","X","name","transfer.date","club.from","club.to","transfer.fee","contract.period.left","positions","age","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played"
"1",1,1,"Pedro","Aug 20, 2015","FC Barcelona","Chelsea","22950000","Remaining contract duration at FC Barcelona03 Years 10 Months 10 Days  (Jun 30, 2019)","
                                Attacker                            ","
                                    Jul 28, 1987                                                                            (29)
                                                                    ","Spain","Santa Cruz de ...","50","11","9","28","28","5","-","-","1",200,2199
"2",2,2,"Abdul Rahman Baba","Aug 16, 2015","FC Augsburg","Chelsea","17000000","Remaining contract duration at FC Augsburg03 Years 10 Months 14 Days  (Jun 30, 2019)","
                                Defender                            ","
                                    Jul 2, 1994                                                                            (22)
                                                                    ","Ghana","Tamale","33","2","6","2","2","4","-","-","-",1417,2833
"3",3,3,"Asmir Begovic","Jul 13, 2015","Stoke City","Chelsea","9350000","Remaining contract duration at Stoke City11 Months 17 Days  (Jun 30, 2016)","
                                Keeper                            ","
                                    Jun 20, 1987                                                                            (29)
                                                                    ","Bosnia-Herzegovina","Trebinje","37","-","-","-","-","-","-","47","7",3330,NA
"4",4,4,"Kenedy","Aug 22, 2015","Fluminense","Chelsea","6800000","Remaining contract duration at Fluminense03 Years 04 Months 09 Days  (Dec 31, 2018)","
                                Defender                            ","
                                    Feb 8, 1996                                                                            (20)
                                                                    ","Brazil","Santa Rita do ...","2","-","-","1","1","-","-","-","-",NA,136
"5",5,5,"Michael Hector","Sep 1, 2015","Reading","Chelsea","4590000","Remaining contract duration at Reading01 Years 02 Months 02 Days  (Jun 30, 2014)","
                                Defender                            ","
                                    Jul 19, 1992                                                                            (24)
                                                                    ","Jamaica","London","49","3","2","1","1","9","-","-","-",1456,4367
"6",6,6,"Matt Miazga","Jan 30, 2016","NY Red Bulls","Chelsea","3910000","Remaining contract duration at NY Red Bulls02 Years 08 Months 00 Days  (May 30, 2013)","
                                Defender                            ","
                                    Jul 19, 1995                                                                            (21)
                                                                    ","United States","Clifton","33","1","2","2","2","5","2","-","-",2788,2788
"7",7,7,"Nathan","Jul 1, 2015","Atlético-PR","Chelsea","3400000","Transfer fee£3.40m","
                                Attacker                            ","
                                    Mar 13, 1996                                                                            (20)
                                                                    ","Brazil","Blumenau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,"Papy Djilobodji","Sep 1, 2015","FC Nantes","Chelsea","2980000","Remaining contract duration at FC Nantes09 Months 29 Days  (Jun 30, 2016)","
                                Defender                            ","
                                    Dec 1, 1988                                                                            (27)
                                                                    ","Senegal","Kaolack","33","-","-","1","1","11","-","-","-",NA,2925
"9",9,9,"Danilo Pantic","Jul 23, 2015","Partizan","Chelsea","Free transfer","Remaining contract duration at Partizan23 Days  (Jun 30, 2015)","
                                Midfield                            ","
                                    Oct 26, 1996                                                                            (19)
                                                                    ","Serbia","Ruma","13","1","-","5","5","-","-","-","-",710,710
"10",10,10,"Marco Amelia","Oct 8, 2015",NA,"Chelsea",NA,"Transfer fee-","
                                Keeper                            ","
                                    Apr 2, 1982                                                                            (34)
                                                                    ","Italy","Frascati","1","-","-","-","-","-","-","-","1",90,NA
"11",11,11,"Kevin De Bruyne","Aug 30, 2015","VfL Wolfsburg","Manchester City","62900000","Remaining contract duration at VfL Wolfsburg03 Years 10 Months 00 Days  (Jun 30, 2019)","
                                Midfield                            ","
                                    Jun 28, 1991                                                                            (25)
                                                                    ","Belgium","Drongen","51","16","28","-","-","7","-","-","-",284,4541
"12",12,12,"Raheem Sterling","Jul 14, 2015","Liverpool","Manchester City","53130000","Remaining contract duration at Liverpool01 Years 11 Months 16 Days  (Jun 30, 2017)","
                                Attacker                            ","
                                    Dec 8, 1994                                                                            (21)
                                                                    ","England","Kingston","52","11","10","3","3","7","-","-","-",411,4519
"13",13,13,"Nicolás Otamendi","Aug 20, 2015","Valencia CF","Manchester City","37910000","Remaining contract duration at Valencia CF03 Years 10 Months 10 Days  (Jun 30, 2019)","
                                Defender                            ","
                                    Feb 12, 1988                                                                            (28)
                                                                    ","Argentina","Buenos Aires","38","6","-","-","-","9","-","1","-",560,3361
"14",14,14,"Patrick Roberts","Jul 19, 2015","Fulham FC","Manchester City","12750000","Remaining contract duration at Fulham FC11 Months 11 Days  (Jun 30, 2016)","
                                Attacker                            ","
                                    Feb 5, 1997                                                                            (19)
                                                                    ","England","Kingston-upon-Thames","23","1","2","17","17","-","-","-","-",746,746
"15",15,15,"Fabian Delph","Jul 17, 2015","Aston Villa","Manchester City","9780000","Remaining contract duration at Aston Villa03 Years 11 Months 13 Days  (Jun 30, 2019)","
                                Midfield                            ","
                                    Nov 21, 1989                                                                            (26)
                                                                    ","England","Bradford","32","2","5","1","1","3","-","1","-",1397,2793
"16",16,16,"Enes Ünal","Jul 6, 2015","Bursaspor","Manchester City","2550000","Remaining contract duration at Bursaspor11 Months 24 Days  (Jun 30, 2016)","
                                Attacker                            ","
                                    May 10, 1997                                                                            (19)
                                                                    ","Turkey","Bursa","31","1","2","24","24","4","-","-","-",754,754
"17",17,17,"Anthony Cáceres","Jan 15, 2016","Central Coast Mariners","Manchester City","272000","Remaining contract duration at 01 Years 05 Months 15 Days  (Jun 30, 2017)","
                                Midfield                            ","
                                    Sep 29, 1992                                                                            (23)
                                                                    ",NA,NA,"27","1","1","1","1","-","-","-","-",2249,2249
"18",18,18,"Florian Lejeune","Aug 28, 2015","Girona FC","Manchester City","255000","Remaining contract duration at Girona FC10 Months 02 Days  (Jun 30, 2016)","
                                Defender                            ","
                                    May 20, 1991                                                                            (25)
                                                                    ","France","Istres","40","5","-","-","-","13","-","-","-",700,3501
"19",19,19,"Rubén Sobrino","Aug 28, 2015","Ponferradina","Manchester City","234000","Remaining contract duration at Ponferradina01 Months 28 Days  (Jun 30, 2015)","
                                Attacker                            ","
                                    Feb 16, 1992                                                                            (24)
                                                                    ","Spain","Daimiel","42","6","6","16","16","5","-","-","-",398,2388
"20",20,20,"Luke Brattan","Oct 26, 2015","Brisbane Roar","Manchester City","Free transfer","Transfer feeFree transfer","
                                Midfield                            ","
                                    Mar 8, 1990                                                                            (26)
                                                                    ","Australia","Hull","30","-","-","-","-","6","-","-","-",NA,2656
