team,league,transfer.fee.total
1. FC Köln,Bundesliga,1243e4
1.FSV Mainz 05,Bundesliga,11268e3
AC Milan,Serie A,7733e4
Arsenal,Premier league,13015e3
AS Roma,Serie A,2861e4
Aston Villa,Premier league,64695e3
Atalanta,Serie A,12345e3
Athletic Bilbao,La Liga,68e5
Atlético Madrid,La Liga,1157e5
Bay. Leverkusen,Bundesliga,4931e4
Bayern Munich ,Bundesliga,6418e4
Bologna,Serie A,1921e4
Bor. Dortmund,Bundesliga,1403e4
Bor. M'gladbach,Bundesliga,3145e4
Bournemouth,Premier league,45841e3
Carpi,Serie A,0.0
Celta de Vigo,La Liga,1386e4
Chelsea,Premier league,6163e4
Chievo Verona,Serie A,5663e3
Crystal Palace,Premier league,2032e4
Dep. La Coruña,La Liga,128e4
E. Frankfurt,Bundesliga,7895e3
Espanyol,La Liga,2683e3
Everton,Premier league,40623e3
FC Augsburg,Bundesliga,142e5
FC Barcelona,La Liga,4335e4
FC Empoli,Serie A,4505e3
FC Ingolstadt,Bundesliga,443e4
FC Lorient,Ligue 1,826e4
FC Nantes,Ligue 1,595e4
FC Schalke 04,Bundesliga,3146e4
Fiorentina,Serie A,26285e3
Frosinone,Serie A,34e4
G. Ajaccio,Ligue 1,0.0
G. Bordeaux,Ligue 1,935e4
Genoa,Serie A,579e4
Getafe CF,La Liga,0.0
Granada CF,La Liga,213e4
Guingamp,Ligue 1,1658e3
Hamburger SV,Bundesliga,17525e3
Hannover 96,Bundesliga,1515e4
Hellas Verona,Serie A,5355e3
Hertha BSC,Bundesliga,6205e3
Inter,Serie A,658e5
Juventus,Serie A,11118e4
Lazio,Serie A,167e5
Leicester,Premier league,4242e4
Levante UD,La Liga,51e5
Liverpool,Premier league,10661e4
LOSC Lille,Ligue 1,10115e3
Málaga CF,La Liga,6555e3
Manchester City,Premier league,179781e3
Manchester Utd.,Premier league,1241e5
Marseille,Ligue 1,1489e4
Monaco,Ligue 1,9186e4
Montpellier,Ligue 1,1514e3
Newcastle,Premier league,91184e3
Norwich,Premier league,3665e4
OGC Nice,Ligue 1,349e4
Olympique Lyon,Ligue 1,3494e4
Paris SG,Ligue 1,9061e4
Rayo Vallecano,La Liga,0.0
Real Betis,La Liga,7535e3
Real Madrid,La Liga,6121e4
Real Sociedad,La Liga,1972e4
Reims,Ligue 1,128e4
Rennes,Ligue 1,4374e3
Saint-Étienne,Ligue 1,15565e3
Sampdoria,Serie A,23972e3
Sassuolo,Serie A,258e5
SC Bastia,Ligue 1,0.0
SCO Angers,Ligue 1,0.0
SD Eibar,La Liga,2975e3
Sevilla FC,La Liga,3635e4
SM Caen,Ligue 1,5143e3
Southampton,Premier league,4583e4
Sporting Gijón,La Liga,0.0
Spurs,Premier league,6036e4
SSC Napoli,Serie A,33123e3
Stoke City,Premier league,4509e4
Sunderland,Premier league,5497e4
SV Darmstadt 98,Bundesliga,723e3
Swansea,Premier league,18129e3
Torino,Serie A,2254e4
Toulouse,Ligue 1,204e4
Troyes,Ligue 1,255e3
TSG Hoffenheim,Bundesliga,19645e3
UD Las Palmas,La Liga,3745e3
Udinese Calcio,Serie A,163e5
US Palermo,Serie A,10163e3
Valencia CF,La Liga,887e5
VfB Stuttgart,Bundesliga,7168e3
VfL Wolfsburg,Bundesliga,4991e4
Villarreal CF,La Liga,2568e4
Watford,Premier league,6933e4
Werder Bremen,Bundesliga,10534e3
West Brom,Premier league,3648e4
West Ham,Premier league,4285e4
