team,league,transfer.fee.total,lon,lat
 Cologne FC GERMANY,Bundesliga,1243e4,NA,NA
FSV Mainz  GERMANY,Bundesliga,11268e3,NA,NA
AC Milan ITALY,Serie A,7733e4,NA,NA
Arsenal UK,Premier league,13015e3,NA,NA
AS Roma ITALY,Serie A,2861e4,NA,NA
Aston Villa UK,Premier league,64695e3,NA,NA
Atalanta ITALY,Serie A,12345e3,NA,NA
Athletic Bilbao SPAIN,La Liga,68e5,NA,NA
Atlético Madrid SPAIN,La Liga,1157e5,NA,NA
Bay Leverkusen GERMANY,Bundesliga,4931e4,NA,NA
Bayern Munich  GERMANY,Bundesliga,6418e4,NA,NA
Bologna ITALY,Serie A,1921e4,NA,NA
Bor Dortmund GERMANY,Bundesliga,1403e4,NA,NA
Bor M'gladbach GERMANY,Bundesliga,3145e4,NA,NA
Bournemouth UK,Premier league,45841e3,NA,NA
Celta de Vigo SPAIN,La Liga,1386e4,NA,NA
Chelsea UK,Premier league,6163e4,NA,NA
Chievo Verona ITALY,Serie A,5663e3,NA,NA
Crystal Palace UK,Premier league,2032e4,NA,NA
Dep La Coruña SPAIN,La Liga,128e4,NA,NA
E Frankfurt GERMANY,Bundesliga,7895e3,NA,NA
Espanyol SPAIN,La Liga,2683e3,NA,NA
Everton UK,Premier league,40623e3,NA,NA
Augsburg FC GERMANY,Bundesliga,142e5,NA,NA
FC Barcelona SPAIN,La Liga,4335e4,NA,NA
FC Empoli ITALY,Serie A,4505e3,NA,NA
FC Ingolstadt GERMANY,Bundesliga,443e4,NA,NA
FC Lorient FRANCE,Ligue 1,826e4,NA,NA
FC Nantes FRANCE,Ligue 1,595e4,NA,NA
FC Schalke  GERMANY,Bundesliga,3146e4,NA,NA
Fiorentina ITALY,Serie A,26285e3,NA,NA
Frosinone ITALY,Serie A,34e4,NA,NA
G Bordeaux FRANCE,Ligue 1,935e4,NA,NA
Genoa ITALY,Serie A,579e4,NA,NA
Granada CF SPAIN,La Liga,213e4,NA,NA
Guingamp FRANCE,Ligue 1,1658e3,NA,NA
Hamburger SV GERMANY,Bundesliga,17525e3,NA,NA
Hannover  GERMANY,Bundesliga,1515e4,NA,NA
Verona FC ITALY,Serie A,5355e3,NA,NA
Hertha Berlin GERMANY,Bundesliga,6205e3,NA,NA
Inter Milan ITALY,Serie A,658e5,NA,NA
Juventus Turin ITALY,Serie A,11118e4,NA,NA
Lazio ITALY,Serie A,167e5,NA,NA
Leicester UK,Premier league,4242e4,NA,NA
Levante UD SPAIN,La Liga,51e5,NA,NA
Liverpool UK,Premier league,10661e4,NA,NA
LOSC Lille FRANCE,Ligue 1,10115e3,NA,NA
Málaga CF SPAIN,La Liga,6555e3,NA,NA
Manchester City UK,Premier league,179781e3,NA,NA
Manchester Utd UK,Premier league,1241e5,NA,NA
Marseille FRANCE,Ligue 1,1489e4,NA,NA
Monaco FRANCE,Ligue 1,9186e4,NA,NA
Montpellier FRANCE,Ligue 1,1514e3,NA,NA
Newcastle UK,Premier league,91184e3,NA,NA
Norwich UK,Premier league,3665e4,NA,NA
OGC Nice FRANCE,Ligue 1,349e4,NA,NA
Olympique Lyon FRANCE,Ligue 1,3494e4,NA,NA
Paris SG FRANCE,Ligue 1,9061e4,NA,NA
Real Betis SPAIN,La Liga,7535e3,NA,NA
Real Madrid SPAIN,La Liga,6121e4,NA,NA
Real Sociedad SPAIN,La Liga,1972e4,NA,NA
Reims FRANCE,Ligue 1,128e4,NA,NA
Rennes FRANCE,Ligue 1,4374e3,NA,NA
Saint-Étienne FRANCE,Ligue 1,15565e3,NA,NA
Sampdoria ITALY,Serie A,23972e3,NA,NA
Sassuolo ITALY,Serie A,258e5,NA,NA
SD Eibar SPAIN,La Liga,2975e3,NA,NA
Sevilla FC SPAIN,La Liga,3635e4,NA,NA
SM Caen FRANCE,Ligue 1,5143e3,NA,NA
Southampton UK,Premier league,4583e4,NA,NA
Spurs UK,Premier league,6036e4,NA,NA
SSC Napoli ITALY,Serie A,33123e3,NA,NA
Stoke City UK,Premier league,4509e4,NA,NA
Sunderland UK,Premier league,5497e4,NA,NA
SV Darmstadt  GERMANY,Bundesliga,723e3,NA,NA
Swansea UK,Premier league,18129e3,NA,NA
Torino ITALY,Serie A,2254e4,NA,NA
Toulouse FRANCE,Ligue 1,204e4,NA,NA
Troyes FRANCE,Ligue 1,255e3,NA,NA
TSG Hoffenheim GERMANY,Bundesliga,19645e3,NA,NA
UD Las Palmas SPAIN,La Liga,3745e3,NA,NA
Udinese Calcio ITALY,Serie A,163e5,NA,NA
FC Palermo ITALY,Serie A,10163e3,NA,NA
Valencia CF SPAIN,La Liga,887e5,NA,NA
Stuttgart VfB GERMANY,Bundesliga,7168e3,NA,NA
VfL Wolfsburg GERMANY,Bundesliga,4991e4,NA,NA
Villarreal CF SPAIN,La Liga,2568e4,NA,NA
Watford UK,Premier league,6933e4,NA,NA
Werder Bremen GERMANY,Bundesliga,10534e3,NA,NA
West Brom UK,Premier league,3648e4,NA,NA
West Ham UK,Premier league,4285e4,NA,NA
