"","lon","lat","name","team","club.from","transfer.fee","league","index"
"1",-1.5490774,53.8007554,"Sam Byram","West Ham UK","Leeds",4.08,"Premier league",696
"2",0.014525,51.538265,"Sam Byram","West Ham UK","Leeds",4.08,NA,696
"3",-100.7169119,20.0188739,"Pedro Obiang","West Ham UK","Sampdoria",5.1,"Premier league",695
"4",0.014525,51.538265,"Pedro Obiang","West Ham UK","Sampdoria",5.1,NA,695
"5",-94.7096476,38.9059719,"Michail Antonio","West Ham UK","Nottm Forest",8.08,"Premier league",694
"6",0.014525,51.538265,"Michail Antonio","West Ham UK","Nottm Forest",8.08,NA,694
"7",-70.9078346,42.3020647,"Nikica Jelavic","West Ham UK","Hull City",3.49,"Premier league",693
"8",0.014525,51.538265,"Nikica Jelavic","West Ham UK","Hull City",3.49,NA,693
"9",-100.363932,25.733185,"Angelo Ogbonna","West Ham UK","Juventus",9.35,"Premier league",692
"10",0.014525,51.538265,"Angelo Ogbonna","West Ham UK","Juventus",9.35,NA,692
"11",5.36978,43.296482,"Dimitri Payet","West Ham UK","Marseille",12.75,"Premier league",691
"12",0.014525,51.538265,"Dimitri Payet","West Ham UK","Marseille",12.75,NA,691
"13",-70.9078346,42.3020647,"James Chester","West Brom UK","Hull City",9.61,"Premier league",690
"14",-1.995159,52.517664,"James Chester","West Brom UK","Hull City",9.61,NA,690
"15",-2.6325074,53.5450645,"James McClean","West Brom UK","Wigan",1.79,"Premier league",689
"16",-1.995159,52.517664,"James McClean","West Brom UK","Wigan",1.79,NA,689
"17",-118.3425748,33.9600196,"Jonny Evans","West Brom UK","Manchester Utd.",7.06,"Premier league",688
"18",-1.995159,52.517664,"Jonny Evans","West Brom UK","Manchester Utd.",7.06,NA,688
"19",-2.9915726,53.4083714,"Rickie Lambert","West Brom UK","Liverpool",3.57,"Premier league",687
"20",-1.995159,52.517664,"Rickie Lambert","West Brom UK","Liverpool",3.57,NA,687
"21",75.8253215,30.9258866,"José Salomón Rondón","West Brom UK","Zenit S-Pb",14.45,"Premier league",686
"22",-1.995159,52.517664,"José Salomón Rondón","West Brom UK","Zenit S-Pb",14.45,NA,686
"23",-95.4987565,39.5838828,"Ulisses  Garcia","Werder Bremen GERMANY","Grasshoppers",0.51,"Bundesliga",685
"24",8.809285,53.0696545,"Ulisses  Garcia","Werder Bremen GERMANY","Grasshoppers",0.51,NA,685
"25",NA,NA,"Sambou Yatabaré","Werder Bremen GERMANY","Olympiacos",2.13,"Bundesliga",684
"26",8.809285,53.0696545,"Sambou Yatabaré","Werder Bremen GERMANY","Olympiacos",2.13,NA,684
"27",4.7601215,52.62921,"Aron Jóhannsson","Werder Bremen GERMANY","AZ Alkmaar",3.57,"Bundesliga",683
"28",8.809285,53.0696545,"Aron Jóhannsson","Werder Bremen GERMANY","AZ Alkmaar",3.57,NA,683
"29",NA,NA,"Anthony Ujah","Werder Bremen GERMANY","1. FC Köln",3.83,"Bundesliga",682
"30",8.809285,53.0696545,"Anthony Ujah","Werder Bremen GERMANY","1. FC Köln",3.83,NA,682
"31",NA,NA,"László Kleinheisler","Werder Bremen GERMANY","Videoton FC",0.213,"Bundesliga",681
"32",8.809285,53.0696545,"László Kleinheisler","Werder Bremen GERMANY","Videoton FC",0.213,NA,681
"33",-109.30151,35.1709339,"Milos Veljkovic","Werder Bremen GERMANY","Spurs",0.281,"Bundesliga",680
"34",8.809285,53.0696545,"Milos Veljkovic","Werder Bremen GERMANY","Spurs",0.281,NA,680
"35",-80.0032,40.4398,"Adlène Guédioura","Watford UK","Crystal Palace",0,"Premier league",679
"36",-0.39032,51.656489,"Adlène Guédioura","Watford UK","Crystal Palace",0,NA,679
"37",13.2056341,46.0408771,"Allan Nyom","Watford UK","Udinese Calcio",0,"Premier league",678
"38",-0.39032,51.656489,"Allan Nyom","Watford UK","Udinese Calcio",0,NA,678
"39",8.809285,53.0696545,"Sebastian Prödl","Watford UK","Werder Bremen",0,"Premier league",677
"40",-0.39032,51.656489,"Sebastian Prödl","Watford UK","Werder Bremen",0,NA,677
"41",NA,NA,"Miguel Britos","Watford UK","SSC Napoli",0,"Premier league",676
"42",-0.39032,51.656489,"Miguel Britos","Watford UK","SSC Napoli",0,NA,676
"43",-58.5214952,-34.6284822,"José Holebas","Watford UK","AS Roma",2.13,"Premier league",675
"44",-0.39032,51.656489,"José Holebas","Watford UK","AS Roma",2.13,NA,675
"45",16.3378572,57.6027778,"Valon Behrami","Watford UK","Hamburger SV",2.98,"Premier league",674
"46",-0.39032,51.656489,"Valon Behrami","Watford UK","Hamburger SV",2.98,NA,674
"47",10.5355882,42.9636137,"Mario Suárez","Watford UK","Fiorentina",4.51,"Premier league",673
"48",-0.39032,51.656489,"Mario Suárez","Watford UK","Fiorentina",4.51,NA,673
"49",4.7601215,52.62921,"Steven Berghuis","Watford UK","AZ Alkmaar",5.53,"Premier league",672
"50",-0.39032,51.656489,"Steven Berghuis","Watford UK","AZ Alkmaar",5.53,NA,672
"51",NA,NA,"Obbi Oulare","Watford UK","Club Brugge",7,"Premier league",671
"52",-0.39032,51.656489,"Obbi Oulare","Watford UK","Club Brugge",7,NA,671
"53",-4.4212655,36.721261,"Nordin Amrabat","Watford UK","Málaga CF",7.14,"Premier league",670
"54",-0.39032,51.656489,"Nordin Amrabat","Watford UK","Málaga CF",7.14,NA,670
"55",13.2056341,46.0408771,"Matej Vydra","Watford UK","Udinese Calcio",7.14,"Premier league",669
"56",-0.39032,51.656489,"Matej Vydra","Watford UK","Udinese Calcio",7.14,NA,669
"57",37.436128,55.817478,"José Manuel Jurado","Watford UK","Spartak Moscow",7.31,"Premier league",668
"58",-0.39032,51.656489,"José Manuel Jurado","Watford UK","Spartak Moscow",7.31,NA,668
"59",-109.30151,35.1709339,"Étienne Capoue","Watford UK","Spurs",7.57,"Premier league",667
"60",-0.39032,51.656489,"Étienne Capoue","Watford UK","Spurs",7.57,NA,667
"61",-1.6777926,48.117266,"Abdoulaye Doucouré","Watford UK","Rennes",9.01,"Premier league",666
"62",-0.39032,51.656489,"Abdoulaye Doucouré","Watford UK","Rennes",9.01,NA,666
"63",13.2056341,46.0408771,"Adalberto Peñaranda","Watford UK","Udinese Calcio",9.01,"Premier league",665
"64",-0.39032,51.656489,"Adalberto Peñaranda","Watford UK","Udinese Calcio",9.01,NA,665
"65",-0.5104759,39.0643597,"Víctor Ruiz","Villarreal CF SPAIN","Valencia CF",2.3,"La Liga",664
"66",-0.1165001,39.9391986,"Víctor Ruiz","Villarreal CF SPAIN","Valencia CF",2.3,NA,664
