"","X","team","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","searchresults","league","Status","lon","lat"
"1",1," Cologne FC RheinEnergieStadion Germany","Marco Höger","2016/7/1","FC Schalke 04",1.11,"
                                Midfield                            ","Germany","Köln",6,0,0,3,3,2,0,0,0,NA,219,11.958932238193,"1989/9/16",26.7898699520876,3740,"Bundesliga","Middle Club",NA,NA
"2",2," Cologne FC RheinEnergieStadion Germany","Artjoms Rudnevs","2016/7/1","Hamburger SV",0,"
                                Attacker                            ","Latvia","Daugavpils",16,5,2,5,5,1,0,0,0,210,1050,NA,"1988/1/13",28.4654346338125,2330,"Bundesliga","Middle Club",16.3378572,57.6027778
"3",3," Cologne FC RheinEnergieStadion Germany","Konstantin Rausch","2016/7/1","SV Darmstadt 98",0,"
                                Midfield                            ","Germany","Kozhevnikovo, Tomsk ...",33,3,6,5,5,7,0,0,0,744,2231,NA,"1990/3/15",26.2970568104038,18900,"Bundesliga","Middle Club",8.927711,50.108607
"4",4," Cologne FC RheinEnergieStadion Germany","Sehrou Guirassy","2016/7/20","LOSC Lille",3.23,"
                                Attacker                            ","France","Arles",25,9,2,6,6,3,0,0,0,193,1738,35.3182751540041,"1996/3/12",20.3559206023272,5280,"Bundesliga","Middle Club",3.057256,50.62925
"5",5,"FSV Mainz  Germany","Levin Öztunali","2016/8/25","Bay. Leverkusen",4.25,"
                                Midfield                            ","Germany","Hamburg",29,1,5,10,10,2,0,0,0,1665,1665,22.1437371663244,"1996/3/15",20.4462696783025,2160,"Bundesliga","Middle Club",6.9946126,51.0157534
"6",6,"FSV Mainz  Germany","Jean-Philippe Gbamin","2016/7/13","Lens",4.25,"
                                Midfield                            ","France","San-Pédro",26,1,1,1,1,3,0,0,0,2236,2236,35.5482546201232,"1995/9/25",20.7994524298426,494,"Bundesliga","Middle Club",2.83183,50.42893
"7",7,"FSV Mainz  Germany","Christian Clemens","2016/7/1","FC Schalke 04",1.7,"
                                Attacker                            ","Germany","Köln",29,6,5,8,8,1,0,0,0,300,1799,11.958932238193,"1991/8/4",24.9089664613279,4460,"Bundesliga","Middle Club",NA,NA
"8",8,"FSV Mainz  Germany","Jhon Córdoba","2016/7/1","Granada CF",5.53,"
                                Attacker                            ","Colombia","Istmina",22,5,2,8,8,2,0,0,0,278,1388,35.9425051334702,"1993/5/11",23.1403148528405,5760,"Bundesliga","Middle Club",-3.0106774,36.7460566
"9",9,"FSV Mainz  Germany","José Rodríguez","2016/7/1","Galatasaray",1.82,"
                                Midfield                            ","Spain","Villajoyosa",23,0,2,9,9,4,0,0,0,NA,1283,35.9425051334702,"1994/12/16",21.5414099931554,193000,"Bundesliga","Middle Club",29.3190451,40.8236671
"10",10,"FSV Mainz  Germany","Gerrit Holtmann","2016/7/1","E. Braunschweig",2.55,"
                                Attacker                            ","Germany","Bremen",34,7,5,10,10,2,0,0,0,307,2147,35.9425051334702,"1995/3/25",21.2703627652293,924,"Bundesliga","Middle Club",10.5267696,52.2688736
"11",11,"AC Milan Italy","José Sosa","2016/8/17","Besiktas",6.38,"
                                Midfield                            ","Argentina","Carcarañá",41,9,14,1,1,4,0,0,0,361,3247,22.4065708418891,"1985/6/19",31.1622176591376,23200,"Serie A","Middle Club",29.0285355,41.068616
"12",12,"AC Milan Italy","Gianluca Lapadula","2016/7/1","Pescara",7.65,"
                                Attacker                            ","Italy","Torino",46,30,12,0,0,10,0,0,0,135,4042,35.9425051334702,"1990/2/7",26.3956194387406,5790,"Serie A","Middle Club",14.2160898,42.4617902
"13",13,"AC Milan Italy","Gustavo Gómez","2016/8/5","CA Lanús",7.23,"
                                Defender                            ","Paraguay","Misiones",20,1,2,0,0,5,0,0,0,1759,1759,34.7926078028747,"1993/6/6",23.1649555099247,2760,"Serie A","Middle Club",-58.3840143,-34.6493828
"14",14,"AC Milan Italy","Leonel Vangioni","2016/7/1","River Plate",0,"
                                Defender                            ","Argentina","Villa Constitución",19,0,1,1,1,4,0,1,0,NA,1509,NA,"1987/5/5",29.1581108829569,1820,"Serie A","Middle Club",-56.741207,-35.1944557
"15",15,"Alavés Spain","Christian Santos","2016/7/12","NEC Nijmegen",0,"
                                Attacker                            ","Venezuela","Puerto Ordaz",33,18,2,1,1,8,0,0,5,162,2917,NA,"1988/3/24",28.3011635865845,1540,"La Liga","Promoted",NA,NA
"16",16,"Alavés Spain","Nenad Krsticic","2016/7/25","Sampdoria",0,"
                                Midfield                            ","Serbia","Belgrad",12,0,1,4,4,6,0,0,0,NA,678,11.170431211499,"1990/7/3",26.0616016427105,1170,"La Liga","Promoted",-100.7169119,20.0188739
"17",17,"Alavés Spain","Ibai Gómez","2016/7/30","Athletic Bilbao",0,"
                                Attacker                            ","Spain","Bilbao",9,0,1,5,5,3,0,0,0,NA,339,11.006160164271,"1989/11/11",26.715947980835,5290,"La Liga","Promoted",-2.7530628,43.298455
"18",18,"Alavés Spain","Edgar Méndez","2016/7/16","Granada CF",0,"
                                Attacker                            ","Spain","Arafo",18,1,0,9,9,5,0,0,0,948,948,35.4496919917864,"1991/4/30",25.2128678986995,10900,"La Liga","Promoted",-3.0106774,36.7460566
"19",19,"Alavés Spain","Zouhair Feddal","2016/7/16","Levante UD",0,"
                                Defender                            ","Morocco","Tétouan",29,1,1,0,0,9,1,0,0,2610,2610,23.4579055441478,"1989/1/1",27.5373032169747,2510,"La Liga","Promoted",-0.3887798,39.4961244
"20",20,"Alavés Spain","Daniel Torres","2016/7/19","Indep. Medellín",2.7,"
                                Midfield                            ","Colombia","Caquezá",5,1,0,0,0,1,0,0,0,450,450,NA,"1989/11/15",26.6748802190281,3710,"La Liga","Promoted",-75.6251732,6.2487306
"21",21,"Alavés Spain","Aleksandar Katai","2016/8/31","Red Star",1.7,"
                                Attacker                            ","Serbia","Vrbas",36,23,10,1,1,9,0,0,0,127,2926,9.95482546201232,"1991/2/6",25.5660506502396,4420,"La Liga","Promoted",-107.2650225,32.7997962
"22",22,"Alavés Spain","Alexis","2016/7/29","Besiktas",0.34,"
                                Defender                            ","Spain","Málaga",28,2,0,1,1,10,0,0,0,1232,2464,23.0308008213552,"1985/8/4",30.984257357974,658000,"La Liga","Promoted",29.0285355,41.068616
"23",23,"Arsenal UK","Rob Holding","2016/7/22","Bolton",2.55,"
                                Defender                            ","England","Tameside",30,1,1,0,0,3,0,1,0,2598,2598,NA,"1995/9/20",20.8377823408624,26500,"Premier league","Top Club",-2.4282192,53.5768647
"24",24,"Arsenal UK","Granit Xhaka","2016/7/1","Bor. M'gladbach",38.25,"
                                Midfield                            ","Switzerland","Basel",36,3,2,0,0,7,2,1,1,1028,3085,35.9425051334702,"1992/9/27",23.7590691307324,97800,"Premier league","Top Club",NA,NA
"25",25,"Arsenal UK","Shkodran Mustafi","2016/8/30","Valencia CF",34.85,"
                                Defender                            ","Germany","Bad Hersfeld",44,2,2,0,0,19,0,1,0,1948,3896,33.9712525667351,"1992/4/17",24.3696098562628,253000,"Premier league","Top Club",-0.5104759,39.0643597
"26",26,"Arsenal UK","Lucas Pérez","2016/8/30","Dep. La Coruña",17,"
                                Attacker                            ","Spain","A Coruña",39,19,11,2,2,6,0,0,1,176,3341,NA,"1988/9/10",27.9698836413415,77500,"Premier league","Top Club",-8.4329001,43.3588448
"27",27,"Arsenal UK","Takuma Asano","2016/7/18","Sanf. Hiroshima",3.4,"
                                Attacker                            ","Japan","Komono, Mie",23,9,5,10,10,1,0,0,1,153,1373,NA,"1994/11/10",21.6865160848734,14700,"Premier league","Top Club",-101.6370568,21.1273026
"28",28,"AS Nancy France","Alou Diarra","2016/9/1","Charlton",0,"
                                Midfield                            ","France","Villepinte",33,0,0,1,1,10,0,1,0,NA,2734,9.92197125256673,"1981/7/15",35.1321013004791,53100,"Ligue 1","Promoted",-71.970074,42.13565
"29",29,"AS Nancy France","Anthony Koura","2016/7/5","Olympique Nîmes",0,"
                                Attacker                            ","France","Le Mans",29,9,0,7,7,1,0,0,0,215,1934,NA,"1993/5/6",23.1649555099247,884,"Ligue 1","Promoted",4.360054,43.836699
