"","name","team","transfer.path.origin.club.from","transfer.path.origin.league","transfer.path.origin.transfer.fee","transfer.path.origin.lon","transfer.path.origin.lat","transfer.path.destination.club.from","transfer.path.destination.league.x","transfer.path.destination.transfer.fee","transfer.path.destination.lon","transfer.path.destination.lat"
"1","Marco Höger"," Cologne FC RheinEnergieStadion Germany","FC Schalke 04","Bundesliga",1.11,NA,NA,NA,NA,NA,NA,NA
"2","Artjoms Rudnevs"," Cologne FC RheinEnergieStadion Germany","Hamburger SV","Bundesliga",0,16.3378572,57.6027778,NA,NA,NA,NA,NA
"3","Konstantin Rausch"," Cologne FC RheinEnergieStadion Germany","SV Darmstadt 98","Bundesliga",0,8.927711,50.108607,NA,NA,NA,NA,NA
"4","Sehrou Guirassy"," Cologne FC RheinEnergieStadion Germany","LOSC Lille","Bundesliga",3.23,3.057256,50.62925,NA,NA,NA,NA,NA
"5","Levin Öztunali","FSV Mainz  Germany","Bay. Leverkusen","Bundesliga",4.25,6.9946126,51.0157534,NA,NA,NA,NA,NA
"6","Jean-Philippe Gbamin","FSV Mainz  Germany","Lens","Bundesliga",4.25,2.83183,50.42893,NA,NA,NA,NA,NA
"7","Christian Clemens","FSV Mainz  Germany","FC Schalke 04","Bundesliga",1.7,NA,NA,NA,NA,NA,NA,NA
"8","Jhon Córdoba","FSV Mainz  Germany","Granada CF","Bundesliga",5.53,-3.0106774,36.7460566,NA,NA,NA,NA,NA
"9","José Rodríguez","FSV Mainz  Germany","Galatasaray","Bundesliga",1.82,29.3190451,40.8236671,NA,NA,NA,NA,NA
"10","Gerrit Holtmann","FSV Mainz  Germany","E. Braunschweig","Bundesliga",2.55,10.5267696,52.2688736,NA,NA,NA,NA,NA
"11","José Sosa","AC Milan Italy","Besiktas","Serie A",6.38,29.0285355,41.068616,NA,NA,NA,NA,NA
"12","Gianluca Lapadula","AC Milan Italy","Pescara","Serie A",7.65,14.2160898,42.4617902,NA,NA,NA,NA,NA
"13","Gustavo Gómez","AC Milan Italy","CA Lanús","Serie A",7.23,-58.3840143,-34.6493828,NA,NA,NA,NA,NA
"14","Leonel Vangioni","AC Milan Italy","River Plate","Serie A",0,-56.741207,-35.1944557,NA,NA,NA,NA,NA
"15","Christian Santos","Alavés Spain","NEC Nijmegen","La Liga",0,NA,NA,NA,NA,NA,NA,NA
"16","Nenad Krsticic","Alavés Spain","Sampdoria","La Liga",0,-100.7169119,20.0188739,NA,NA,NA,NA,NA
"17","Ibai Gómez","Alavés Spain","Athletic Bilbao","La Liga",0,-2.7530628,43.298455,NA,NA,NA,NA,NA
"18","Edgar Méndez","Alavés Spain","Granada CF","La Liga",0,-3.0106774,36.7460566,NA,NA,NA,NA,NA
"19","Zouhair Feddal","Alavés Spain","Levante UD","La Liga",0,-0.3887798,39.4961244,NA,NA,NA,NA,NA
"20","Daniel Torres","Alavés Spain","Indep. Medellín","La Liga",2.7,-75.6251732,6.2487306,NA,NA,NA,NA,NA
"21","Aleksandar Katai","Alavés Spain","Red Star","La Liga",1.7,-107.2650225,32.7997962,NA,NA,NA,NA,NA
"22","Alexis","Alavés Spain","Besiktas","La Liga",0.34,29.0285355,41.068616,NA,NA,NA,NA,NA
"23","Rob Holding","Arsenal UK","Bolton","Premier league",2.55,-2.4282192,53.5768647,NA,NA,NA,NA,NA
"24","Granit Xhaka","Arsenal UK","Bor. M'gladbach","Premier league",38.25,NA,NA,NA,NA,NA,NA,NA
"25","Shkodran Mustafi","Arsenal UK","Valencia CF","Premier league",34.85,-0.5104759,39.0643597,NA,NA,NA,NA,NA
"26","Lucas Pérez","Arsenal UK","Dep. La Coruña","Premier league",17,-8.4329001,43.3588448,NA,NA,NA,NA,NA
"27","Takuma Asano","Arsenal UK","Sanf. Hiroshima","Premier league",3.4,-101.6370568,21.1273026,NA,NA,NA,NA,NA
"28","Alou Diarra","AS Nancy France","Charlton","Ligue 1",0,-71.970074,42.13565,NA,NA,NA,NA,NA
"29","Anthony Koura","AS Nancy France","Olympique Nîmes","Ligue 1",0,4.360054,43.836699,NA,NA,NA,NA,NA
"30","Issiar Dia","AS Nancy France","Al-Kharitiyat","Ligue 1",0,51.4211111,25.3963889,NA,NA,NA,NA,NA
"31","Abdullahi Nura","AS Roma Italy","Spezia Calcio","Serie A",2.13,9.7994789,44.0727813,NA,NA,NA,NA,NA
"32","Moustapha Seck","AS Roma Italy","Lazio","Serie A",0,12.989615,41.6552418,NA,NA,NA,NA,NA
"33","Diego Perotti","AS Roma Italy","Genoa","Serie A",7.65,8.946256,44.4056499,NA,NA,NA,NA,NA
